OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape_Length,Shape_Area
39,G50297,2024012501.000000000000000,2023,Person,2023-G50297,1.200000000000000,2023 ROLLOVER,20240125,20240125,20230513,Hand sketch of any type,JA70003000,0.000000000000000,2703342.000000000000000,12021.222900000000664,1081.336999999999989,1081.336979015445877,12021.222899744530878
40,C11437,2023080202.000000000000000,2023,Lightning,2023-C11437,4422.100000000000364,2023 ROLLOVER,20230802,20230802,20230709,Non-corrected ground GPS,JA70003000,0.000000000000000,2703202.000000000000000,44220628.560400001704693,44366.419099999999162,44366.419138800607470,44220628.560391724109650
41,C11499,2023080301.000000000000000,2023,Lightning,2023-C11499,7864.000000000000000,2023 ROLLOVER,20230803,20230803,20230709,Non-corrected ground GPS,JA70003000,0.000000000000000,2703205.000000000000000,78639632.779300004243851,75448.026899999997113,75448.026909462758340,78639632.779338151216507
42,C11892,2023072201.000000000000000,2023,Lightning,2023-C11892,341.899999999999977,2023 ROLLOVER,20230722,20230722,20230717,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703206.000000000000000,3418894.868100000079721,8873.328900000000431,8873.328880167769967,3418894.868096165359020
43,G11454,2023071801.000000000000000,2023,Lightning,2023-G11454,14.100000000000000,2023 ROLLOVER,20230718,20230719,20230708,Non-corrected ground GPS,JA70003000,0.000000000000000,2703290.000000000000000,140754.533499999990454,1760.879100000000108,1760.879129099752618,140754.533463181054685
44,G11504,2023071501.000000000000000,2023,Lightning,2023-G11504,6.500000000000000,2023 ROLLOVER,20230715,20230721,20230710,Non-corrected ground GPS,JA70003000,0.000000000000000,2703291.000000000000000,65436.722999999998137,1373.121100000000069,1373.121097424615300,65436.723017407886800
45,G11618,2023072001.000000000000000,2023,Lightning,2023-G11618,38.000000000000000,2023 ROLLOVER,20230720,20230721,20230712,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703293.000000000000000,380077.641599999973550,4184.975599999999758,4184.975555674799580,380077.641586146492045
46,G11748,2023071601.000000000000000,2023,Lightning,2023-G11748,1.400000000000000,2023 ROLLOVER,20230716,20230722,20230709,Non-corrected ground GPS,JA70003000,0.000000000000000,2703294.000000000000000,14437.221700000000055,1182.308399999999892,1182.308361237628787,14437.221664085642260
47,C11914,2023072101.000000000000000,2023,Lightning,2023-C11914,1.600000000000000,2023 ROLLOVER,20230721,20230731,20230719,Non-corrected ground GPS,JA70003000,0.000000000000000,2703207.000000000000000,15679.451499999999214,684.422699999999963,684.422658327695331,15679.451520744420122
48,C12204,2023112101.000000000000000,2023,Lightning,2023-C12204,0.700000000000000,2023 ROLLOVER,20231121,20231121,20230722,Digitized other,JA70003000,0.000000000000000,2703209.000000000000000,7344.541599999999562,439.198500000000024,439.198506052184541,7344.541603842839322
